Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
31.0,Sat,2019-04-06,20:45,Barcelona,2.6,2–0,0.8,Atlético Madrid,92453.0,Camp Nou,Jesús Gil
31.0,Sun,2019-04-07,12:00,Alavés,0.9,1–1,0.9,Leganés,16783.0,Estadio de Mendizorroza,Antonio Matéu Lahoz
31.0,Sun,2019-04-07,14:00,Getafe,1.3,1–0,0.7,Athletic Club,11617.0,Coliseum Alfonso Pérez,José González
31.0,Sun,2019-04-07,16:15,Valladolid,1.4,0–2,2.1,Sevilla,17989.0,Estadio Municipal José Zorrilla,José Sánchez
31.0,Sun,2019-04-07,18:30,Levante,2.4,2–2,1.3,Huesca,19824.0,Estadio Ciudad de Valencia,Carlos del Cerro
31.0,Sun,2019-04-07,18:30,Celta Vigo,3.0,3–1,1.4,Real Sociedad,20519.0,Estadio de Balaídos,Mario Melero
31.0,Sun,2019-04-07,20:45,Betis,1.8,2–1,1.5,Villarreal,28475.0,Estadio Benito Villamarín,Daniel Ask
32.0,Sat,2019-04-13,13:00,Espanyol,0.5,2–1,1.4,Alavés,18143.0,RCDE Stadium,Ignacio Iglesias
32.0,Sat,2019-04-13,16:15,Huesca,0.2,0–0,1.1,Barcelona,7332.0,Estadio El Alcoraz,Guillermo Cuadra
32.0,Sat,2019-04-13,18:30,Atlético Madrid,1.5,2–0,0.5,Celta Vigo,55269.0,Estadio Wanda Metropolitano,Ricardo de Burgos
32.0,Sat,2019-04-13,20:45,Sevilla,2.0,3–2,1.0,Betis,42855.0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
32.0,Sun,2019-04-14,12:00,Valladolid,1.5,2–2,1.6,Getafe,16909.0,Estadio Municipal José Zorrilla,José Luis Munuera
32.0,Sun,2019-04-14,14:00,Athletic Club,2.7,3–2,1.0,Rayo Vallecano,38732.0,San Mamés,Juan Martínez
32.0,Sun,2019-04-14,16:15,Real Sociedad,0.4,1–1,1.5,Eibar,24308.0,Estadio Municipal de Anoeta,Santiago Jaime
32.0,Sun,2019-04-14,18:30,Girona,1.3,0–1,1.4,Villarreal,11535.0,Estadi Municipal de Montilivi,Adrián Cordero
32.0,Sun,2019-04-14,20:45,Valencia,2.4,3–1,0.3,Levante,42120.0,Estadio de Mestalla,Alberto Undiano
32.0,Mon,2019-04-15,21:00,Leganés,0.6,1–1,1.2,Real Madrid,12118.0,Estadio Municipal de Butarque,David Medié
33.0,Fri,2019-04-19,21:00,Alavés,1.3,2–2,2.0,Valladolid,13568.0,Estadio de Mendizorroza,Daniel Ask
